Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
Park Pl,S,Brooklyn,394,2148.0,1958.0,2072.0,1903.0,2068,1793
Parksde Av *,Q,Brooklyn,192,5426.0,6381.0,6387.0,6844.0,8295,8010
Pennylvania    Av *,3,Brooklyn,344,5577.0,5303.0,5902.0,2206.0,3027,3211
President St,52,Brooklyn,348,3745.0,3255.0,3520.0,3204.0,3296,3132
Prospect Av *,R,Brooklyn,302,5806.0,5792.0,5240.0,4944.0,2690,4281
Prospect Park,SQB,Brooklyn,112,12864.0,15404.0,14105.0,13301.0,15104,13368
Ralph Av,C,Brooklyn,218,6391.0,6719.0,7162.0,6984.0,7063,7005
Rockaway Av *,3,Brooklyn,320,5802.0,5536.0,1777.0,4078.0,4590,3694
Rockaway Av,C,Brooklyn,236,5616.0,5680.0,6136.0,6188.0,6268,6390
Saratoga Av  *,3,Brooklyn,325,5451.0,5137.0,6568.0,3373.0,4288,3642
Sheepshead    Bay,QB,Brooklyn,138,11712.0,11092.0,11984.0,11562.0,12146,11595
Shepherd Av,C,Brooklyn,339,3408.0,3586.0,3669.0,3529.0,3486,3303
Smith-9 Sts  *,GF,Brooklyn,276,3664.0,6001.0,6299.0,5391.0,5289,5023
Sterling St,52,Brooklyn,260,6567.0,5705.0,6267.0,5869.0,5750,5574
Sutter Av,L,Brooklyn,309,5279.0,5625.0,4488.0,4318.0,4701,4028
Sutter    Av-Rutland Rd *,3,Brooklyn,277,7764.0,7490.0,6748.0,5547.0,3157,4977
Union St,R,Brooklyn,232,7321.0,7992.0,7252.0,6713.0,5744,6500
Utica Av,CA,Brooklyn,71,18127.0,18822.0,19583.0,19318.0,20225,20086
Van Siclen Av *,3,Brooklyn,382,3388.0,3159.0,967.0,3205.0,2681,2087
Van Siclen Av,C,Brooklyn,332,3351.0,3488.0,3718.0,3563.0,3618,3406
Van Siclen Av,ZJ,Brooklyn,370,3265.0,3562.0,3681.0,3663.0,3145,2511
West 8 St-New    York Aquarium  *,QF,Brooklyn,337,3077.0,2967.0,3138.0,3175.0,3146,3382
Wilson Av *,L,Brooklyn,272,4745.0,5689.0,5011.0,4496.0,5735,5153
Winthrop St,52,Brooklyn,268,6064.0,5481.0,5868.0,5327.0,5306,5329
York St,F,Brooklyn,187,8672.0,8783.0,9691.0,12521.0,9945,8199
1 Av,L,Manhattan,45,32724.0,35580.0,30185.0,32170.0,28252,25688
103 St,1,Manhattan,90,18130.0,14644.0,15829.0,16603.0,15650,16156
103 St *,6,Manhattan,128,16793.0,17608.0,13014.0,13963.0,13920,12523
103 St,CB,Manhattan,299,5799.0,5947.0,5458.0,4817.0,5191,4438
110 St,6,Manhattan,139,13682.0,14381.0,14497.0,14600.0,12893,11584
116 St,32,Manhattan,115,14410.0,15500.0,15487.0,14435.0,14583,13266
116 St,6,Manhattan,84,20263.0,20611.0,19593.0,19733.0,18846,17222
116 St,CB,Manhattan,248,8172.0,8287.0,7514.0,7077.0,7673,5946
116 St-Columbia University,1,Manhattan,120,16166.0,13256.0,13547.0,13853.0,13115,12956
125 St,1,Manhattan,167,11257.0,9469.0,9482.0,9797.0,9379,9312
125 St,32,Manhattan,79,18547.0,20142.0,19311.0,17940.0,19660,17929
125 St,654,Manhattan,34,33091.0,34840.0,34541.0,32501.0,31307,29461
125 St,DCBA,Manhattan,25,35998.0,38766.0,39729.0,38587.0,37694,36704
135 St,32,Manhattan,95,17070.0,18837.0,17916.0,16887.0,17462,15693
135 St,CB,Manhattan,305,5516.0,5529.0,5036.0,4743.0,5127,4123
137 St-City College,1,Manhattan,93,18805.0,14213.0,16107.0,16055.0,15844,15939
14 St   /8 Av,LECA,Manhattan,13,55956.0,58298.0,59900.0,58605.0,57625,57748
14 St     /6 Av,L321MF,Manhattan,18,60933.0,64712.0,61431.0,59127.0,52840,49334
14 St-Union Sq,654WRQNL,Manhattan,3,144163.0,144539.0,143123.0,130777.0,135996,125348
145 St,1,Manhattan,132,13589.0,14487.0,13951.0,14015.0,12936,12216
145 St *,3,Manhattan,392,3685.0,3495.0,3738.0,3133.0,3561,1837
145 St,DCBA,Manhattan,35,29522.0,31573.0,31882.0,30729.0,29988,28847
155 St,DB,Manhattan,324,5014.0,4998.0,5059.0,4996.0,4448,3649
155 St,C,Manhattan,329,3277.0,3563.0,3326.0,3368.0,3609,3546
157 St,1,Manhattan,119,13471.0,13190.0,13403.0,13735.0,13683,12999
163    St-Amsterdam Av *,C,Manhattan,384,5100.0,5553.0,5302.0,5471.0,5669,2016
168 St,1CA,Manhattan,37,27877.0,28757.0,26334.0,29950.0,26637,27468
175 St,A,Manhattan,130,13982.0,13877.0,15221.0,11504.0,13754,12478
18 St,1,Manhattan,193,7818.0,7883.0,8145.0,7759.0,7274,7993
181 St,1,Manhattan,116,13652.0,14173.0,13860.0,14919.0,14196,13206
181 St,A,Manhattan,137,12103.0,12667.0,14129.0,10509.0,12101,11606
190 St,A,Manhattan,285,5798.0,5531.0,6230.0,4546.0,5410,4762
191 St,1,Manhattan,175,9028.0,9380.0,9434.0,10023.0,9547,8866
2 Av,F,Manhattan,81,27022.0,25696.0,26503.0,26234.0,20998,17746
207 St,1,Manhattan,207,7565.0,7954.0,7858.0,8673.0,8116,7442
215 St,1,Manhattan,393,2023.0,1893.0,1910.0,2342.0,2108,1822
23 St,1,Manhattan,85,17138.0,17167.0,17640.0,15941.0,14948,17044
23 St,6,Manhattan,78,20735.0,20246.0,18388.0,19249.0,19273,18454
23 St,EC,Manhattan,59,24391.0,25870.0,23887.0,23549.0,23444,22387
23 St  *,MF,Manhattan,202,20880.0,22545.0,21257.0,19973.0,15508,7665
23 St,WR,Manhattan,41,20605.0,22743.0,25157.0,24898.0,24108,26807
28 St,1,Manhattan,127,12732.0,13004.0,12742.0,12098.0,11152,12526
28 St *,6,Manhattan,184,19269.0,19026.0,18121.0,18646.0,17989,8448
28 St,WR,Manhattan,100,10400.0,11795.0,13006.0,13195.0,12887,14910
3 Av,L,Manhattan,172,10761.0,11875.0,10481.0,11420.0,10336,8941
33 St,6,Manhattan,55,26004.0,26363.0,24782.0,25391.0,23708,22606
34 St-Herald    Square,WRQNMFDB,Manhattan,2,128250.0,134816.0,132961.0,126221.0,132429,126221
34    St-Hudson Yards,7,Manhattan,189,,,3183.0,9618.0,9941,8135
34 St-Penn    Station,321,Manhattan,7,87791.0,92317.0,88770.0,84702.0,78533,78700
34 St-Penn    Station,ECA,Manhattan,6,80788.0,86057.0,83698.0,74992.0,78878,80930
42 St-Bryant    Pk    /5 Av,7MFDB,Manhattan,26,36169.0,37872.0,38673.0,40137.0,37101,33521
47-50    Sts-Rockefeller Center,MFDB,Manhattan,30,39972.0,41198.0,40299.0,39633.0,33776,31634
49 St,RWN,Manhattan,27,31139.0,32745.0,28130.0,33634.0,34714,33001
5 Av-53 St,ME,Manhattan,113,12815.0,13416.0,13438.0,8340.0,10450,13355
5 Av-59 St,RWN,Manhattan,88,22737.0,22921.0,21633.0,21376.0,19704,16544
50 St,1,Manhattan,44,25883.0,27848.0,26084.0,26277.0,21338,26010
50 St,EC,Manhattan,42,24262.0,27942.0,27920.0,26306.0,27120,26053
57 St  *,F,Manhattan,256,11094.0,11907.0,13122.0,14693.0,13057,5640
57 St-7 Av,WRQN,Manhattan,21,32616.0,33579.0,34519.0,34509.0,42436,43040
59    St-Columbus Circle,1DCBA,Manhattan,5,80476.0,84152.0,82220.0,80270.0,79870,81271
66 St-Lincoln    Center,1,Manhattan,47,27722.0,29160.0,28054.0,27001.0,21674,25355
68 St-Hunter    College,6,Manhattan,109,22699.0,24694.0,21588.0,22104.0,14682,13871
7 Av,EDB,Manhattan,111,13228.0,14772.0,15228.0,12512.0,12818,13440
72 St,321,Manhattan,15,56182.0,55681.0,55779.0,54054.0,52456,52267
72 St  *,CB,Manhattan,300,11601.0,11524.0,10393.0,9285.0,10240,4370
72 St,Q,Manhattan,48,,,,,25717,25320
77 St,6,Manhattan,60,31629.0,35140.0,30244.0,31824.0,23424,22083
79 St,1,Manhattan,66,22409.0,23523.0,22886.0,21987.0,20497,20898
8 St-New York    University,WR,Manhattan,50,21349.0,23087.0,24844.0,25216.0,23227,24397
